,ID,P_ID,LABEL_NAME,LABEL_ICON,LEVEL,SORT,CREATOR,CREATE_TIME,UPDATER,UPDATE_TIME,IN_USE
0,2,1,Huobi,/labelicon/second/Huobi.png,1,,,,1234,19:04.0,TRUE
1,3,1,Binance,/labelicon/second/Binance.png,1,,,,1234,07:48.0,TRUE
2,4,1,Dex-trade,/labelicon/second/Dex-trade.png,1,,,,1234,22:24.0,TRUE
3,5,1,Ftx,/labelicon/second/Ftx.png,1,,,,1234,23:07.0,TRUE
4,6,1,Kuna,/labelicon/second/Kuna.png,1,,,,1234,32:28.0,TRUE
5,7,1,Aax,/labelicon/second/Aax.png,1,,,,1234,23:44.0,TRUE
6,8,1,Lbank,/labelicon/second/Lbank.png,1,,,,1234,23:58.0,TRUE
7,9,1,Phemex,/labelicon/second/Phemex.png,1,,,,1234,24:12.0,TRUE
8,10,1,Bitbns,/labelicon/second/Bitbns.png,1,,,,1234,24:28.0,TRUE
9,11,1,Latoken,/labelicon/second/Latoken.png,1,,,,1234,24:40.0,TRUE
10,12,1,Kickex,/labelicon/second/Kickex.png,1,,,,1234,24:57.0,TRUE
11,13,1,Bithumb,/labelicon/second/Bithumb.png,1,,,,1234,25:31.0,TRUE
12,14,1,Hitbtc,/labelicon/second/Hitbtc.png,1,,,,1234,25:43.0,TRUE
13,15,1,Upbit,/labelicon/second/Upbit.png,1,,,,1234,25:52.0,TRUE
14,16,1,Kucoin,/labelicon/second/Kucoin.png,1,,,,1234,26:14.0,TRUE
15,17,1,Ascendex (bitmax),/labelicon/second/Ascendex (bitmax).png,1,,,,1234,32:47.0,TRUE
16,18,1,Cashierest,/labelicon/second/Cashierest.png,1,,,,1234,33:10.0,TRUE
17,19,1,Bhex,/labelicon/second/Bhex.png,1,,,,1234,33:37.0,TRUE
18,20,1,Cex.Io,/labelicon/second/Cex.Io.png,1,,,,1234,34:14.0,TRUE
19,21,1,Dcoin,/labelicon/second/Dcoin.png,1,,,,1234,34:29.0,TRUE
20,23,1,Coinex,/labelicon/second/Coinex.png,1,,,,1234,34:44.0,TRUE
21,24,1,Bitmart,/labelicon/second/Bitmart.png,1,,,,1234,35:06.0,TRUE
22,25,1,Zb,/labelicon/second/Zb.svg,1,,,,1234,35:18.0,TRUE
23,26,1,Bibox,/labelicon/second/Bibox.png,1,,,,1234,36:00.0,TRUE
24,27,1,Bione,/labelicon/second/Bione.png,1,,,,1234,55:35.0,TRUE
25,28,1,Okex,/labelicon/second/OKEX.svg,1,,,,1234,39:33.0,TRUE
26,29,1,Poloniex,/labelicon/second/Poloniex.png,1,,,,1234,39:53.0,TRUE
27,30,1,Gate,/labelicon/second/Gate.svg,1,,,,1234,40:07.0,TRUE
28,31,1,Mxc,/labelicon/second/Mexc.svg,1,,,,1234,42:22.0,TRUE
29,32,1,Bitfinex,/labelicon/second/Bitfinex.png,1,,,,1234,42:48.0,TRUE
30,33,1,Alameda Research,/labelicon/second/AlamedaResearch.svg,1,,,,1234,43:58.0,TRUE
31,34,1,Indodax,/labelicon/second/Indodax.png,1,,,,1234,44:17.0,TRUE
32,35,1,Coinbene,/labelicon/second/Coinbene.png,1,,,,1234,44:31.0,TRUE
33,36,1,Bitrue,/labelicon/second/Bitrue.png,1,,,,1234,44:47.0,TRUE
34,37,1,Probit,/labelicon/second/Probit.png,1,,,,1234,45:22.0,TRUE
35,40,1,Bitx,/labelicon/second/Bitx.svg,1,,,,1234,51:00.0,TRUE
36,41,1,Bittrex,/labelicon/second/Bittrex.png,1,,,,1234,56:31.0,TRUE
37,42,1,Kraken,/labelicon/second/Kraken.png,1,,,,1234,56:59.0,TRUE
38,43,1,Bitstamp,/labelicon/second/Bitstamp.png,1,,,,1234,57:11.0,TRUE
39,44,1,Coincheck,/labelicon/second/Coincheck.png,1,,,,1234,57:31.0,TRUE
40,45,1,Bitmex,/labelicon/second/Bitmex.png,1,,,,1234,57:43.0,TRUE
41,46,1,Haobtc,/labelicon/second/Haobtc.svg,1,,,,1234,57:58.0,TRUE
42,48,1,Artis Turba,/labelicon/second/Artis Turba.png,1,,,,1234,58:08.0,TRUE
43,50,1,Southxchange,/labelicon/second/Southxchange.png,1,,,,1234,58:20.0,TRUE
