,ID,P_ID,LABEL_NAME,LABEL_ICON,LEVEL,SORT,CREATOR,CREATE_TIME,UPDATER,UPDATE_TIME,IN_USE
0,2,1,Huobi,/labelicon/second/Huobi.png,1,,,,1234.0,2021-09-17 14:19:04.000,True
1,3,1,Binance,/labelicon/second/Binance.png,1,,,,1234.0,2021-09-18 14:07:48.000,True
2,4,1,Dex-trade,/labelicon/second/Dex-trade.png,1,,,,1234.0,2021-09-18 14:22:24.000,True
3,5,1,Ftx,/labelicon/second/Ftx.png,1,,,,1234.0,2021-09-18 14:23:07.000,True
4,6,1,Kuna,/labelicon/second/Kuna.png,1,,,,1234.0,2021-09-18 14:32:28.000,True
5,7,1,Aax,/labelicon/second/Aax.png,1,,,,1234.0,2021-09-18 14:23:44.000,True
6,8,1,Lbank,/labelicon/second/Lbank.png,1,,,,1234.0,2021-09-18 14:23:58.000,True
7,9,1,Phemex,/labelicon/second/Phemex.png,1,,,,1234.0,2021-09-18 14:24:12.000,True
8,10,1,Bitbns,/labelicon/second/Bitbns.png,1,,,,1234.0,2021-09-18 14:24:28.000,True
9,11,1,Latoken,/labelicon/second/Latoken.png,1,,,,1234.0,2021-09-18 14:24:40.000,True
10,12,1,Kickex,/labelicon/second/Kickex.png,1,,,,1234.0,2021-09-18 14:24:57.000,True
11,13,1,Bithumb,/labelicon/second/Bithumb.png,1,,,,1234.0,2021-09-18 14:25:31.000,True
12,14,1,Hitbtc,/labelicon/second/Hitbtc.png,1,,,,1234.0,2021-09-18 14:25:43.000,True
13,15,1,Upbit,/labelicon/second/Upbit.png,1,,,,1234.0,2021-09-18 14:25:52.000,True
14,16,1,Kucoin,/labelicon/second/Kucoin.png,1,,,,1234.0,2021-09-18 14:26:14.000,True
15,17,1,Ascendex (bitmax),/labelicon/second/Ascendex_(bitmax).png,1,,,,1234.0,2021-09-18 14:32:47.000,True
16,18,1,Cashierest,/labelicon/second/Cashierest.png,1,,,,1234.0,2021-09-18 14:33:10.000,True
17,19,1,Bhex,/labelicon/second/Bhex.png,1,,,,1234.0,2021-09-18 14:33:37.000,True
18,20,1,Cex.Io,/labelicon/second/Cex.Io.png,1,,,,1234.0,2021-09-18 14:34:14.000,True
19,21,1,Dcoin,/labelicon/second/Dcoin.png,1,,,,1234.0,2021-09-18 14:34:29.000,True
20,23,1,Coinex,/labelicon/second/Coinex.png,1,,,,1234.0,2021-09-18 14:34:44.000,True
21,24,1,Bitmart,/labelicon/second/Bitmart.png,1,,,,1234.0,2021-09-18 14:35:06.000,True
22,25,1,Zb,/labelicon/second/Zb.svg,1,,,,1234.0,2021-09-18 14:35:18.000,True
